subcategory_name,category_id
Smart Equipment,1
Professional Equipment,2
Compact Systems,3
Rapid Tools,4
Flexible Accessories,5
Professional Modules,6
Eco Platforms,7
Ultra Accessories,8
Secure Systems,9
Premium Equipment,10
Ultra Systems,11
Eco Devices,12
Advanced Accessories,13
Modern Platforms,14
Secure Modules,15
Eco Solutions,16
Rapid Components,17
Compact Supplies,18
Secure Products,19
Modern Tools,20
Advanced Modules,21
Essential Solutions,22
Flexible Systems,23
Rapid Platforms,24
Ultra Solutions,25
Digital Accessories,26
Digital Products,27
Essential Systems,28
Classic Tools,29
Professional Components,30
Essential Equipment,31
Compact Platforms,32
Flexible Products,33
Modern Solutions,34
Compact Modules,35
Advanced Solutions,36
Ultra Tools,37
Rapid Services,38
Elite Services,39
Essential Devices,40
Flexible Devices,41
Premium Modules,42
Flexible Equipment,43
Eco Equipment,44
Secure Tools,45
Modern Supplies,46
Modern Equipment,47
Digital Services,48
Eco Components,49
Digital Systems,50
Digital Equipment,1
Smart Products,2
Advanced Equipment,3
Professional Systems,4
Flexible Solutions,5
Classic Accessories,6
Smart Modules,7
Modern Components,8
Compact Tools,9
Smart Services,10
Modern Products,11
Digital Solutions,12
Eco Supplies,13
Compact Devices,14
Classic Solutions,15
Classic Systems,16
Elite Components,17
Flexible Supplies,18
Professional Services,19
Rapid Systems,20
Smart Systems,21
Eco Accessories,22
Digital Devices,23
Secure Accessories,24
Secure Services,25
Classic Equipment,26
Ultra Equipment,27
Professional Products,28
Flexible Services,29
Digital Supplies,30
Advanced Services,31
Professional Solutions,32
Premium Devices,33
Classic Devices,34
Essential Accessories,35
Eco Products,36
Rapid Products,37
Smart Components,38
Elite Supplies,39
Premium Platforms,40
Elite Systems,41
Modern Accessories,42
Professional Devices,43
Ultra Services,44
Essential Platforms,45
Flexible Platforms,46
Modern Services,47
Ultra Platforms,48
Smart Accessories,49
Classic Platforms,50
Classic Modules,1
Elite Tools,2
Secure Components,3
Rapid Equipment,4
Digital Tools,5
Secure Supplies,6
Advanced Devices,7
Digital Modules,8
Smart Solutions,9
Rapid Solutions,10
Premium Products,11
Digital Components,12
Compact Solutions,13
Advanced Tools,14
Elite Equipment,15
Ultra Supplies,16
Compact Services,17
Advanced Products,18
Advanced Components,19
Flexible Components,20
Smart Supplies,21
Elite Accessories,22
Elite Modules,23
Smart Devices,24
Compact Components,25
Premium Accessories,26
Premium Components,27
Eco Modules,28
Essential Services,29
Essential Tools,30
Smart Tools,31
Rapid Modules,32
Classic Services,33
Secure Devices,34
Rapid Devices,35
Advanced Systems,36
Rapid Accessories,37
Ultra Components,38
Premium Solutions,39
Professional Supplies,40
Professional Accessories,41
Secure Equipment,42
Elite Solutions,43
Modern Systems,44
Ultra Devices,45
Essential Components,46
Essential Modules,47
Eco Systems,48
Premium Services,49
Professional Platforms,50
Ultra Products,1
Advanced Supplies,2
Premium Tools,3
Eco Services,4
Classic Supplies,5
Secure Solutions,6
Ultra Modules,7
Premium Supplies,8
Essential Products,9
Compact Equipment,10
Elite Platforms,11
Advanced Platforms,12
Smart Platforms,13
Flexible Tools,14
Modern Devices,15
Rapid Supplies,16
Flexible Modules,17
Elite Devices,18
Digital Platforms,19
Classic Products,20
Elite Products,21
Premium Systems,22
Classic Components,23
Modern Modules,24
Compact Accessories,25
Secure Platforms,26
Essential Supplies,27
Professional Tools,28
Compact Products,29
Eco Tools,30
Smart Equipment,31
Professional Equipment,32
Compact Systems,33
Rapid Tools,34
Flexible Accessories,35
Professional Modules,36
Eco Platforms,37
Ultra Accessories,38
Secure Systems,39
Premium Equipment,40
Ultra Systems,41
Eco Devices,42
Advanced Accessories,43
Modern Platforms,44
Secure Modules,45
Eco Solutions,46
Rapid Components,47
Compact Supplies,48
Secure Products,49
Modern Tools,50
Advanced Modules,1
Essential Solutions,2
Flexible Systems,3
Rapid Platforms,4
Ultra Solutions,5
Digital Accessories,6
Digital Products,7
Essential Systems,8
Classic Tools,9
Professional Components,10
Essential Equipment,11
Compact Platforms,12
Flexible Products,13
Modern Solutions,14
Compact Modules,15
Advanced Solutions,16
Ultra Tools,17
Rapid Services,18
Elite Services,19
Essential Devices,20
Flexible Devices,21
Premium Modules,22
Flexible Equipment,23
Eco Equipment,24
Secure Tools,25
Modern Supplies,26
Modern Equipment,27
Digital Services,28
Eco Components,29
Digital Systems,30
Digital Equipment,31
Smart Products,32
Advanced Equipment,33
Professional Systems,34
Flexible Solutions,35
Classic Accessories,36
Smart Modules,37
Modern Components,38
Compact Tools,39
Smart Services,40
Modern Products,41
Digital Solutions,42
Eco Supplies,43
Compact Devices,44
Classic Solutions,45
Classic Systems,46
Elite Components,47
Flexible Supplies,48
Professional Services,49
Rapid Systems,50
Smart Systems,1
Eco Accessories,2
Digital Devices,3
Secure Accessories,4
Secure Services,5
Classic Equipment,6
Ultra Equipment,7
Professional Products,8
Flexible Services,9
Digital Supplies,10
Advanced Services,11
Professional Solutions,12
Premium Devices,13
Classic Devices,14
Essential Accessories,15
Eco Products,16
Rapid Products,17
Smart Components,18
Elite Supplies,19
Premium Platforms,20
Elite Systems,21
Modern Accessories,22
Professional Devices,23
Ultra Services,24
Essential Platforms,25
Flexible Platforms,26
Modern Services,27
Ultra Platforms,28
Smart Accessories,29
Classic Platforms,30
Classic Modules,31
Elite Tools,32
Secure Components,33
Rapid Equipment,34
Digital Tools,35
Secure Supplies,36
Advanced Devices,37
Digital Modules,38
Smart Solutions,39
Rapid Solutions,40
Premium Products,41
Digital Components,42
Compact Solutions,43
Advanced Tools,44
Elite Equipment,45
Ultra Supplies,46
Compact Services,47
Advanced Products,48
Advanced Components,49
Flexible Components,50
Smart Supplies,1
Elite Accessories,2
Elite Modules,3
Smart Devices,4
Compact Components,5
Premium Accessories,6
Premium Components,7
Eco Modules,8
Essential Services,9
Essential Tools,10
Smart Tools,11
Rapid Modules,12
Classic Services,13
Secure Devices,14
Rapid Devices,15
Advanced Systems,16
Rapid Accessories,17
Ultra Components,18
Premium Solutions,19
Professional Supplies,20
Professional Accessories,21
Secure Equipment,22
Elite Solutions,23
Modern Systems,24
Ultra Devices,25
Essential Components,26
Essential Modules,27
Eco Systems,28
Premium Services,29
Professional Platforms,30
Ultra Products,31
Advanced Supplies,32
Premium Tools,33
Eco Services,34
Classic Supplies,35
Secure Solutions,36
Ultra Modules,37
Premium Supplies,38
Essential Products,39
Compact Equipment,40
Elite Platforms,41
Advanced Platforms,42
Smart Platforms,43
Flexible Tools,44
Modern Devices,45
Rapid Supplies,46
Flexible Modules,47
Elite Devices,48
Digital Platforms,49
Classic Products,50
Elite Products,1
Premium Systems,2
Classic Components,3
Modern Modules,4
Compact Accessories,5
Secure Platforms,6
Essential Supplies,7
Professional Tools,8
